5,avroraNT.log,23,110,3 3 3 3 3 3 5,15 15 15 15 15 15 20
5,batikNT.log,1935,9127,1 1 1 1 1 1930,2 2 2 2 2 9117
5,cryptNT.log,1,5,1,5
5,h2NT.log,333,1240,12 12 12 12 12 140 1 12 12 12 12 12 12 12 12 12 12 12,56 56 56 56 56 343 1 56 56 56 56 56 56 56 56 56 56 56
5,jythonNT.log,146315,561029,1 146314,1 561028
5,lufactNT.log,1,5,1,5
5,lusearchNT.log,1203,3139,75 75 75 75 1 75 76 76 75 75 75 75 75 75 75 75 75,196 196 196 196 1 196 197 197 196 196 196 196 196 196 196 196 196
5,pmdNT.log,271,341,15 11 21 6 3 16 24 17 20 17 9 7 22 20 22 17 24,19 15 25 10 9 20 28 21 24 21 13 11 26 24 26 21 28
5,sunflowNTABORTED.log,116,321,7 8 8 7 1 6 8 7 7 7 7 7 7 9 7 7 6,19 20 20 19 5 18 25 19 19 19 19 19 19 25 19 19 18
5,tomcatFull.log,49707,123374,33 176 210 169 205 194 189 181 401 176 2856 2826 2856 2766 1071 2856 2856 1 5 2 1 173 1 177 224 2856 2826 2856 2871 2841 2856 2796 2811 2781 2826 173 201 212 196,132 505 582 501 576 528 549 533 818 533 7079 7005 7079 6857 1921 7079 7079 1 6 3 1 522 1 516 605 7079 7005 7079 7116 7042 7079 6931 6968 6894 7005 503 565 561 536
5,xalanFull.log,8274,29783,519 601 573 614 6 519 414 517 541 568 560 633 368 543 550 441 307,1760 2302 2115 2143 13 1908 1524 1869 1852 2024 1937 2304 1428 1841 1913 1632 1218
10,avroraNT.log,23,207,3 3 3 3 3 3 5,30 30 30 30 30 30 27
10,batikNT.log,1935,15940,1 1 1 1 1 1930,2 2 2 2 2 15930
10,cryptNT.log,1,6,1,6
10,h2NT.log,333,2205,12 12 12 12 12 140 1 12 12 12 12 12 12 12 12 12 12 12,111 111 111 111 111 428 1 111 111 111 111 111 111 111 111 111 111 111
10,jythonNT.log,146315,890196,1 146314,1 890195
10,lufactNT.log,1,6,1,6
10,lusearchNT.log,1203,4803,75 75 75 75 1 75 76 76 75 75 75 75 75 75 75 75 75,300 300 300 300 1 300 301 301 300 300 300 300 300 300 300 300 300
10,pmdNT.log,271,426,15 11 21 6 3 16 24 17 20 17 9 7 22 20 22 17 24,24 20 30 15 14 25 33 26 29 26 18 16 31 29 31 26 33
10,sunflowNTABORTED.log,116,464,7 8 8 7 1 6 8 7 7 7 7 7 7 9 7 7 6,34 27 29 29 10 24 38 28 24 26 25 25 27 39 26 27 26
10,tomcatFull.log,49707,188754,33 176 210 169 205 194 189 181 401 176 2856 2826 2856 2766 1071 2856 2856 1 5 2 1 173 1 177 224 2856 2826 2856 2871 2841 2856 2796 2811 2781 2826 173 201 212 196,132 709 806 715 806 737 764 761 1067 760 10943 10829 10943 10601 2441 10943 10943 1 6 3 1 746 1 731 811 10943 10829 10943 11000 10886 10943 10715 10772 10658 10829 704 794 767 771
10,xalanFull.log,8274,46824,519 601 573 614 6 519 414 517 541 568 560 633 368 543 550 441 307,2680 3580 3361 3350 18 2929 2496 2917 2904 3106 3032 3617 2400 2822 2934 2613 2065
100,avroraNT.log,23,1827,3 3 3 3 3 3 5,300 300 300 300 300 300 27
100,batikNT.log,1935,44299,1 1 1 1 1 1930,2 2 2 2 2 44289
100,cryptNT.log,1,6,1,6
100,h2NT.log,333,18257,12 12 12 12 12 140 1 12 12 12 12 12 12 12 12 12 12 12,1101 1101 1065 1101 947 1296 1 1101 1101 1101 1013 1101 1001 1027 1101 985 1101 1013
100,jythonNT.log,146315,1686928,1 146314,1 1686927
100,lufactNT.log,1,6,1,6
100,lusearchNT.log,1203,33603,75 75 75 75 1 75 76 76 75 75 75 75 75 75 75 75 75,2100 2100 2100 2100 1 2100 2101 2101 2100 2100 2100 2100 2100 2100 2100 2100 2100
100,pmdNT.log,271,1956,15 11 21 6 3 16 24 17 20 17 9 7 22 20 22 17 24,114 110 120 105 104 115 123 116 119 116 108 106 121 119 121 116 123
100,sunflowNTABORTED.log,116,623,7 8 8 7 1 6 8 7 7 7 7 7 7 9 7 7 6,68 27 29 29 94 24 60 28 24 26 25 25 27 58 26 27 26
100,tomcatFull.log,49707,310378,33 176 210 169 205 194 189 181 401 176 2856 2826 2856 2766 1071 2856 2856 1 5 2 1 173 1 177 224 2856 2826 2856 2871 2841 2856 2796 2811 2781 2826 173 201 212 196,132 1617 1568 1711 1758 1526 1696 1583 2036 1675 17594 17426 17594 17090 3886 17594 17594 1 6 3 1 1751 1 1758 1700 17594 17426 17594 17678 17510 17594 17258 17342 17174 17426 1563 1637 1570 1711
100,xalanFull.log,8274,133974,519 601 573 614 6 519 414 517 541 568 560 633 368 543 550 441 307,7533 9145 9338 8844 108 8115 7915 8525 8724 8820 8633 9219 7807 8292 8478 7687 6791
