trace,reads,writes,acquires,releases,forks,joins,notifies,waits
account.std,64,53,5,5,6,1,0,0
airlinetickets.std,77,50,0,0,13,0,0,0
array.std,8,32,3,3,5,0,0,0
boundedbuffer.std,157,101,34,34,6,0,0,0
bubblesort.std,3964,407,121,121,28,0,0,0
bufwriter.std,15850,3640,1374,1374,8,4,0,0
clean.std,687,123,239,239,11,0,0,0
critical.std,18,33,0,0,6,2,0,0
derby.std,879507,442272,28187,28187,6,2,0,0
ftpserver.std,30049,8498,5498,5498,13,4,0,0
jigsaw.std,2638837,437263,5432,5432,14,4,0,0
lang.std,4321,1922,0,0,9,5,0,0
linkedlist.std,993177,5084,2001,2001,14,10,0,0
lufact.std,90647341,43431687,6,6,4,3,0,0
luindex.std,313656441,83680962,207364,207364,3,0,0,0
lusearch.std,162140579,55011649,166849,166849,9,0,0,0
mergesort.std,1996,916,55,55,7,3,0,0
moldyn.std,182757,17470,31,31,5,1,0,0
pingpong.std,57,74,0,0,20,0,0,0
producerconsumer.std,392,160,46,46,9,5,0,0
raytracer.std,10373,5272,60,60,5,1,0,0
readerswriters.std,5623,2180,1729,1729,6,0,0,0
sor.std,504056016,101598263,633553,633553,4,3,0,0
sunflow.std,8953200,2702655,587,587,16,12,0,0
tsp.std,283647273,23660529,91,90,9,0,0,0
twostage.std,106,33,20,20,14,0,0,0
wronglock.std,134,48,20,20,24,0,0,0
