trace,races_undead,races_pwrundead,races_pwrundeadextra,events,locks
account.std,0,0,0,134,3
airlinetickets.std,0,0,0,140,0
array.std,0,0,0,51,2
boundedbuffer.std,0,0,0,332,2
bubblesort.std,0,0,0,4641,2
bufwriter.std,0,0,0,22250,1
clean.std,0,0,7,1299,2
critical.std,0,0,0,59,0
derby.std,0,0,45,1378161,1112
ftpserver.std,0,0,157,49560,301
jigsaw.std,6,0,270,3086982,275
lang.std,0,0,0,6257,0
linkedlist.std,0,0,0,1002287,1002
lufact.std,0,0,0,134079047,1
luindex.std,0,0,0,397752134,65
lusearch.std,0,0,657,217485935,118
mergesort.std,0,0,0,3032,3
moldyn.std,0,0,0,200295,2
pingpong.std,0,0,0,151,0
producerconsumer.std,0,0,0,658,3
raytracer.std,0,0,0,15771,8
readerswriters.std,0,0,0,11267,1
sor.std,0,0,0,606921392,2
sunflow.std,0,0,630,11657057,9
tsp.std,0,0,0,307307992,2
twostage.std,0,0,0,193,2
wronglock.std,0,0,0,246,2
