trace,vc_limit,races_pwrundead,races_pwrundeadguard,time_taken_pwrundead,time_taken_pwrundeadguard,dependencies_per_thread_pwrundead,dependencies_per_thread_pwrundeadguard,possible_guard_lock_dependencies,possible_guard_locks,guard_locks_accepted,guard_locks_declined
account.std,5,0,0,0,0,0 0 2 2 1 0 0,0 0 2 2 1 0 0,0,0,0,0
airlinetickets.std,5,0,0,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,0,0
array.std,5,0,0,0,0,0 0 1 2 0 0,0 0 1 2 0 0,0,0,0,0
boundedbuffer.std,5,0,0,0,0,0 0 0 0 4 5 0,0 0 0 0 4 5 0,0,0,0,0
bubblesort.std,5,0,0,3,3,0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 2 5 0 0 0 0 5 5 5 5 5 5,0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 2 5 0 0 0 0 5 5 5 5 5 5,19,19,0,19
bufwriter.std,5,0,0,12,13,0 0 5 1 5 5 0 0 0,0 0 5 1 5 5 0 0 0,0,0,0,0
clean.std,5,0,0,1,1,0 0 0 2 10 10 10 10 10 0 0 0,0 0 0 2 10 10 10 10 10 0 0 0,0,0,0,0
critical.std,5,0,0,0,0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0,0,0,0
derby.std,5,0,0,1310,2527,0 0 2068 2252 4970 0 0,0 0 2228 2506 4970 0 0,15317,17551,17280,271
ftpserver.std,5,0,0,37,48,0 0 0 134 134 0 7 5 252 345 267 209 2 0,0 0 0 134 135 0 7 5 334 415 274 209 2 0,1230,2715,1440,1275
jigsaw.std,5,0,0,1696,1923,0 0 0 0 567 418 1 6 25 2 0 0 174 103 0,0 0 0 0 567 418 1 6 25 2 0 0 174 103 0,3,7,0,7
lang.std,5,0,0,4,4,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0,0,0,0
linkedlist.std,5,0,0,548,533,0 0 0 0 1 105 105 105 105 105 105 105 105 105 105,0 0 0 0 1 105 105 105 105 105 105 105 105 105 105,0,0,0,0
lufact.std,5,0,0,82168,80415,0 0 0 5 0,0 0 0 5 0,0,0,0,0
luindex.std,5,0,0,220900,222329,91 165 0 0,91 165 0 0,0,0,0,0
lusearch.std,5,0,0,117669,115181,0 0 52 53 105 104 110 32 0 0,0 0 52 53 105 104 110 32 0 0,0,0,0,0
mergesort.std,5,0,0,3,3,0 0 5 5 7 0 5 0,0 0 5 5 7 0 5 0,0,0,0,0
moldyn.std,5,0,0,99,94,0 0 0 10 0 0,0 0 0 10 0 0,0,0,0,0
pingpong.std,5,0,0,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,0,0
producerconsumer.std,5,0,0,1,1,0 0 0 1 1 5 1 10 5 5 0,0 0 0 1 1 5 1 10 5 5 0,0,0,0,0
raytracer.std,5,0,0,9,9,0 0 1 17 0 0,0 0 1 17 0 0,0,0,0,0
readerswriters.std,5,0,0,7,7,0 0 0 5 5 5 5 0,0 0 0 5 5 5 5 0,0,0,0,0
sor.std,5,0,0,395845,406060,5 5 5 10 0,5 5 5 10 0,0,0,0,0
sunflow.std,5,0,0,7265,7064,2 2 2 22 0 5 23 17 18 16 16 16 17 17 17 18 17,2 2 2 22 0 5 23 17 18 16 16 16 17 17 17 18 17,0,0,0,0
tsp.std,5,0,0,165447,158617,10 6 5 5 9 5 6 10 1 0,10 6 5 5 9 5 6 10 1 0,0,0,0,0
twostage.std,5,0,0,2,1,0 0 0 0 0 2 2 2 2 2 2 2 2 2 2,0 0 0 0 0 2 2 2 2 2 2 2 2 2 2,0,0,0,0
wronglock.std,5,0,0,1,1,0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1,0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1,0,0,0,0
