trace,vc_limit,time_taken_undead,time_taken_pwrundead,time_taken_pwrundeadguard,pwrundead_deps,pwrundeadguard_deps,deps_diff,ls_size_diff,deps_with_additional_guards,additional_deps
account.std,5,1,0,0,3,3,0,0,0,0
airlinetickets.std,5,0,0,0,0,0,0,0,0,0
array.std,5,1,0,0,3,3,0,0,0,0
boundedbuffer.std,5,1,0,0,2,2,0,0,0,0
bubblesort.std,5,3,3,3,12,12,0,0,0,0
bufwriter.std,5,10,12,12,4,4,0,0,0,0
clean.std,5,1,1,1,12,12,0,0,0,0
critical.std,5,1,0,0,0,0,0,0,0,0
derby.std,5,3729,1173,2547,4181,4399,218,2647,1777,0
ftpserver.std,5,25,38,47,662,753,91,641,144,234
jigsaw.std,5,1326,1898,1852,523,523,0,0,0,0
lang.std,5,4,4,4,0,0,0,0,0,0
linkedlist.std,5,423,522,515,1011,1011,0,0,0,0
lufact.std,5,55435,77230,78511,1,1,0,0,0,0
luindex.std,5,176110,210092,217090,85,85,0,0,0,0
lusearch.std,5,94260,110178,110418,181,181,0,0,0,0
mergesort.std,5,3,2,3,6,6,0,0,0,0
moldyn.std,5,87,90,88,2,2,0,0,0,0
pingpong.std,5,1,0,0,0,0,0,0,0,0
producerconsumer.std,5,1,1,1,9,9,0,0,0,0
raytracer.std,5,7,9,9,8,8,0,0,0,0
readerswriters.std,5,5,7,7,4,4,0,0,0,0
sor.std,5,260601,385130,385561,5,5,0,0,0,0
sunflow.std,5,4854,6928,6847,68,68,0,0,0,0
tsp.std,5,132084,152416,152067,14,14,0,0,0,0
twostage.std,5,1,1,1,20,20,0,0,0,0
wronglock.std,5,0,1,1,20,20,0,0,0,0
